明星frs首页	mahong	GET	http://tieba.baidu.com/f?ie=utf-8&kw=%E5%88%98%E8%AF%97%E8%AF%97&fr=search		[timeline_pass,water_pic,server_time,cur_time,type,top,thread_num,head,info,user_num,pic,update_num,num,focus,sid,time,log_id,tbs,sign_rank,during_time,common,,pic,id,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,num_card,goods_info,tbgame,lottery,adsense,portrait]	env_issue
明星frs中间页	mahong	GET	http://tieba.baidu.com/f?kw=%C1%F5%CA%AB%CA%AB&pn=450		[timeline_pass,_passwater_pic,zhibo,server_time,cur_time,log_id,tbs,sign_rank,during_time,common,pic,id,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,goods_info,tbgame,lottery,adsense,portrait]	env_issue
明星精品页分类页	zhangqianqian	GET	http://tieba.baidu.com/f/good?kw=%C1%F5%CA%AB%CA%AB&tab=good&cid=4		[timeline_pass,cur_time,server_time,log_id,tbs,sign_rank,during_time,common,pic,id,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,goods_info,tbgame,lottery,adsense,portrait]	env_issue
明星图片二级页	mahong	GET	http://tieba.baidu.com/photo/g?kw=%C1%F5%CA%AB%CA%AB		[timeline_pass,thread_num,water_pic,server_time,cur_time,log_id,tbs,sign_rank,during_time,common,pic,id,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,goods_info,tbgame,lottery,adsense,portrait]	env_issue
明星pb页	mahong	GET	http://tieba.baidu.com/p/2530315737		[grade_exp,log_id,tbs,sign_rank,during_time,common,server_time,pic,id,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	env_issue
fstar_ui_api-aldWiseTl(提供给无线阿拉丁的明星贴吧时间轴数据接口)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/aldWiseTl?fname=jay		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p1
fstar_ui_api-getfansnum(获取某个用户在某个吧的粉丝编号)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/getfansnum?fid=6&uid=68655698		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p2
fstar_ui_zhongchou-getYingyuanInfo(获取应援信息)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/zhongchou/getYingyuanInfo?forum_id=6		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p4
fstar_ui_api-getalltimeline(获取一个吧的所有小时间轴信息)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/getalltimeline?fid=6		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p4
fstar_ui_browse-starChannel(明星频道首页)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/browse/starChannel		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p4
fstar_ui_api-pad(批量根据吧id获取明星吧的信息，给pad客户端使用)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/pad?fids=6-2-3		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p4
fstar_ui_api-index(供给公共主页的api，返回所有认证明星的人名和百度用户名的对应关系)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/index?fid=6		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
fstar_ui_api-getbless(按祝福总数倒序输出吧list)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/getbless		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
fstar_ui_api-regstatus(输出一个吧的开通状态)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/regstatus?fid=6		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
fstar_ui_data-index(浏览明星贴吧的吧数据和相关贴吧数据)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/data/index?fid=6&frsinfo=1&rforum=1		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
fstar_ui_api-getallfans(输出一个用户所有粉丝编号信息)_正常	chenzude	GET	http://tieba.baidu.com/frsstar/api/getallfans?portrait=111111111		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
fstar_ui_api-preview(输出预览页面的信息)	chenzude	GET	http://tieba.baidu.com/frsstar/api/preview?fid=6		[log_id,tbs,sign_rank,during_time,common,server_time,month_rank,weekly_rank_info,yesterday_rank_info,current_rank_info,sprite,tbgame,lottery,adsense,portrait]	p5
